PR_65_52_00_00    PIPELINES
PR_65_52_00_00.3060B    ZINC FREE BRAZED JOINTS:
PR_65_52_00_00.3070A    CAPILLARY JOINTS FOR COPPER:
PR_65_52_00_00.3070B    CAPILLARY JOINTS FOR POTABLE WATER:
PR_65_52_00_00.3097C    JOINTING EQUIPMENT FOR POLYBUTYLENE (PB) PIPES - ELECTROFUSION:
PR_65_52_00_00.3105B    RED DUCTILE IRON COUPLINGS FOR CAST IRON PIPES TO BS EN 877:
PR_65_52_00_00.3105C    GREY DUCTILE IRON COUPLINGS FOR CAST IRON PIPES TO BS EN 877:
PR_65_52_00_00.3105D    BLACK DUCTILE IRON COUPLINGS FOR CAST IRON PIPES TO BS EN 877:
PR_65_52_00_00.3140A    MECHANICAL JOINTS, GROOVED STEEL PIPES:
PR_65_52_00_00.3170A    FLEXIBLE COUPLINGS, SLEEVE TYPE:
PR_65_52_00_00.3180A    FLEXIBLE FLANGE ADAPTERS, SLEEVE TYPE:
PR_65_52_00_00.3190A    WALL, FLOOR AND CEILING CHROMIUM PLATED MASKING PLATES:
PR_65_52_00_00.3190B    WALL, FLOOR AND CEILING PLASTIC MASKING PLATES:
PR_65_52_00_00.3200A    PIPE RINGS AND CLIPS, STEEL PIPEWORK:
PR_65_52_00_00.4010    APPEARANCE:
PR_65_52_00_00.4020    SPACING:
PR_65_52_00_00.4030    GRADIENTS:
PR_65_52_00_00.4040A    AIR BOTTLES:
PR_65_52_00_00.4040B    AUTOMATIC AIR VENTS:
PR_65_52_00_00.4050    DRAIN REQUIREMENTS:
PR_65_52_00_00.4060    EXPANSION AND CONTRACTION:
PR_65_52_00_00.4070A    PIPE FITTINGS, BENDS/SWEPT TEES:
PR_65_52_00_00.4070B    PIPE FITTINGS, ELBOWS/SQUARE TEES:
PR_65_52_00_00.4110    PIPES THROUGH WALLS AND FLOORS:
PR_65_52_00_00.4120A    PIPE SLEEVES:
PR_65_52_00_00.4120B    PIPE SLEEVES WITH INSULATION CARRIED THROUGH:
PR_65_52_00_00.4125    PIPE SLEEVES THROUGH FIRE BARRIERS:
PR_65_52_00_00.4130    CONNECTIONS TO EQUIPMENT:
PR_65_52_00_00.4140    DISTRIBUTION HEADERS:
PR_65_52_00_00.4150A    TEMPORARY PLUGS, CAPS AND FLANGES:
PR_65_52_00_00.4160    FLANGED JOINTS GENERAL:
PR_65_52_00_00.4170    DISSIMILAR METALS:
PR_65_52_00_00.4180    PIPE RINGS AND CLIPS:
PR_65_52_00_00.4190    ANCHORS:
PR_65_52_00_00.4200    SLIDE GUIDES:
PR_65_52_00_00.4205    PIPE SUPPORTS:
PR_65_52_00_00.4220    SUPPORT SPACING:
Vertical    support spacing 
PR_65_52_00_00.4230A    ISOLATION AND REGULATION:
PR_65_52_00_00.4240    MAINTENANCE AND RENEWAL:
PR_65_52_00_00.4250    CLEANING:
PR_65_52_00_00.4260    NON-FERROUS COMPONENTS:
PR_65_52_00_00.5010B    WELDING GENERAL, CLASS 2:
PR_65_52_00_00.5020    WELDED JOINTS, STEEL PIPES:
PR_65_52_00_00.5030    PAINTING WELDED JOINTS, STEEL PIPES:
PR_65_52_00_00.5040    FLANGED JOINTS, STEEL PIPES:
PR_65_52_00_00.5050    SCREWED JOINTS, STEEL PIPES:
PR_65_52_00_00.5070A    ANCHORS, STEEL PIPES, U-BOLTS:
PR_65_52_00_00.5070B    ANCHORS, STEEL PIPES, SLIP-ON FLANGES:
PR_65_52_00_00.5090    STEEL PIPEWORK PAINTING:
PR_65_52_00_00.5100    COMPRESSION JOINTS, STAINLESS STEEL PIPES:
PR_65_52_00_00.5120    BRAZED JOINTS, STAINLESS STEEL JOINTS:
PR_65_52_00_00.6030    COMPRESSION JOINTS, COPPER PIPES, LIGHT GAUGE:
PR_65_52_00_00.6040    CAPILLARY JOINTS, COPPER PIPES, LIGHT GAUGE:
PR_65_52_00_00.6060A    ANCHORS, COPPER PIPES, SADDLE CLAMPS:
PR_65_52_00_00.6060B    ANCHORS, COPPER PIPES, SADDLE CLAMPS:
PR_65_52_00_00.7010    FLANGED JOINTS, CAST IRON/DUCTILE IRON PIPES:
PR_65_52_00_00.7030    FLEXIBLE JOINTS, CAST IRON PIPES:
PR_65_52_00_00.8020    FUSION JOINTS, POLYETHYLENE PIPES:
PR_65_52_00_00.8030    MECHANICAL FITTINGS FOR POLYETHYLENE PIPE:
PR_65_52_00_00.9030    PROTECTION OF UNDERGROUND PIPEWORK:
PR_65_52_00_00.9040A    PROTECTION OF BURIED PIPES, UNMARKED:
PR_65_52_00_00.9040B    PROTECTION OF BURIED PIPES, MARKED:
PR_20_85_00_00    PIPELINE ANCILLARIES
PR_20_85_00_00.1000    GENERAL
PR_20_85_00_00.1010    SAFETY AND RELIEF VALVES, SELF OPERATED, APPLICATION:
PR_20_85_00_00.1020    EXPOSED VALVES:
PR_20_85_00_00.1030    TESTING:
PR_20_85_00_00.2015A    STOP VALVES TO BS EN 1213 FOR POTABLE WATER SUPPLIES - COMPRESSION ENDS FOR COPPER:
PR_20_85_00_00.2015C    STOP VALVES TO BS EN 1213 FOR POTABLE WATER SUPPLIES - CAPILLARY:
PR_20_85_00_00.2080A    THREADED END BALL TYPE VALVES - SCREW DRIVER/KEY OPERATED:
PR_20_85_00_00.2080B    COMPRESSION END BALL TYPE VALVES - SCREW DRIVER/KEY OPERATED:
PR_20_85_00_00.2080C    THREADED END BALL TYPE VALVES - LEVER OPERATED:
PR_20_85_00_00.2080D    COMPRESSION END BALL TYPE VALVES - LEVER OPERATED:
PR_20_85_00_00.2080E    THREADED END BALL TYPE VALVES - LOCKSHIELD:
PR_20_85_00_00.2080F    COMPRESSION BALL TYPE VALVES - LOCKSHIELD:
PR_20_85_00_00.2090A    LEVER OPERATED BUTTERFLY VALVES TO BS EN 593 BETWEEN FLANGES:
PR_20_85_00_00.2090B    GEAR OPERATED BUTTERFLY VALVES TO BS EN 593 BETWEEN FLANGES:
PR_20_85_00_00.2090C    LEVER OPERATED BUTTERFLY VALVES BETWEEN MECHANICAL JOINTS:
PR_20_85_00_00.2090D    GEAR OPERATED BUTTERFLY VALVES BETWEEN MECHANICAL JOINTS:
PR_20_85_00_00.2210A    LEVER OPERATED REGULATING BUTTERFLY VALVES TO BS EN 593 BETWEEN FLANGES:
PR_20_85_00_00.2210B    GEAR OPERATED REGULATING BUTTERFLY VALVES TO BS EN 593 BETWEEN FLANGES:
PR_20_85_00_00.2210C    LEVER OPERATED REGULATING BUTTERFLY VALVES TO BS EN 593 BETWEEN MECHANICAL JOINTS:
PR_20_85_00_00.2210D    GEAR OPERATED REGULATING BUTTERFLY VALVES TO BS EN 593 BETWEEN MECHANICAL JOINTS:
PR_20_85_00_00.2220A    THREADED END DOUBLE REGULATING VALVES TO BS 7350, COPPER ALLOY:
PR_20_85_00_00.2220B    FLANGED DOUBLE REGULATING VALVES TO BS 7350, COPPER ALLOY:
PR_20_85_00_00.2220C    FLANGED DOUBLE REGULATING VALVES TO BS 7350, CAST IRON:
PR_20_85_00_00.2230A    THREADED ENDS FLOW MEASUREMENT DEVICES TO BS 7350, COPPER ALLOY:
PR_20_85_00_00.2230B    FLANGED ENDS FLOW MEASUREMENT DEVICES TO BS 7350 TYPE 3, COPPER ALLOY:
PR_20_85_00_00.2230C    FLANGED FLOW MEASUREMENT DEVICE TO BS 7350 CAST IRON, TYPE 3:
PR_20_85_00_00.2230E    THREADED ENDS FLOW MEASUREMENT DEVICES TO BS 7350 TYPE 4, COPPER ALLOY:
PR_20_85_00_00.2230F    FLANGED FLOW MEASUREMENT DEVICES TO BS 7350 TYPE 4, COPPER ALLOY:
11.2230G    FLOW MEASUREMENT DEVICES TO BS 7350 TYPE 4, CAST IRON:
PR_20_85_00_00.2260A    RADIATOR VALVES TO BS 2767 (TYPE 4):
PR_20_85_00_00.2270A    THERMOSTATIC RADIATOR VALVES TO BS EN 215 TABLE A.1:
PR_20_85_00_00.2270B    THERMOSTATIC RADIATOR VALVES TO BS EN 215 TABLE A.2:
PR_20_85_00_00.2270C    THERMOSTATIC RADIATOR VALVES TO BS EN 215 TABLE A.3:
PR_20_85_00_00.2270D    THERMOSTATIC RADIATOR VALVES TO BS EN 215 TABLE A.4:
PR_20_85_00_00.2270E    TAMPER PROOF THERMOSTATIC RADIATOR VALVES TO BS EN 215 TABLE A.1:
PR_20_85_00_00.2270F    TAMPER PROOF THERMOSTATIC RADIATOR VALVES TO BS EN 215 TABLE A.2:
PR_20_85_00_00.2270G    TAMPER PROOF THERMOSTATIC RADIATOR VALVES TO BS EN 215 TABLE A.3:
PR_20_85_00_00.2270H    TAMPER PROOF THERMOSTATIC RADIATOR VALVES TO BS EN 215 TABLE A.4:
PR_20_85_00_00.2280A    FLOAT OPERATED VALVES TO BS 1212-1, COPPER FLOAT:
PR_20_85_00_00.2280B    FLOAT OPERATED VALVES TO BS 1212-1, PLASTIC FLOAT:
PR_20_85_00_00.2290A    THREADED END FLOAT OPERATED VALVES, BALANCED EQUILIBRIUM:
PR_20_85_00_00.2315A    OPEN/CLOSE CONTROL BALL VALVES:
PR_20_85_00_00.2315B    TWO WAY CONTROL BALL VALVES:
PR_20_85_00_00.2315C    THREE WAY CONTROL BALL VALVES:
PR_20_85_00_00.2320A    THREADED ENDS SWING CHECK VALVES TO BS 5154:
PR_20_85_00_00.2320B    FLANGED SWING CHECK VALVES TO BS 5154:
PR_20_85_00_00.2330A    FLANGED SWING CHECK VALVES TO BS EN 12334
PR_20_85_00_00.2330B    WAFER BODY SWING CHECK VALVES TO BS EN 12334:
PR_20_85_00_00.2330C    FLANGED LIFT CHECK VALVES TO BS EN 12334:
PR_20_85_00_00.2330D    WAFER BODY LIFT CHECK VALVES TO BS EN 12334:
PR_20_85_00_00.2340A    FLANGED SWING CHECK VALVES TO BS EN 12334:
PR_20_85_00_00.2430A    SAFETY VALVES TO BS EN ISO 4126-1, COPPER ALLOY, SINGLE SPRING:
PR_20_85_00_00.2430B    SAFETY VALVES TO BS EN ISO 4126-1, COPPER ALLOY, DOUBLE SPRING:
PR_20_85_00_00.2430C    SAFETY VALVES TO BS EN ISO 4126-1, CAST IRON, SINGLE SPRING:
PR_20_85_00_00.2430D    SAFETY VALVES TO BS EN ISO 4126-1, CAST IRON, DOUBLE SPRING:
PR_20_85_00_00.2440A    DRAIN COCKS, THROUGHWAY GLAND COCK:
PR_20_85_00_00.2450    DRAIN COCKS - SCREWDOWN TO BS 2879, TYPE 1:
PR_20_85_00_00.2460    DRAIN COCKS - BALL TYPE:
PR_20_85_00_00.2470    VENT COCKS - TWO WAY GLAND COCK TYPE:
PR_20_85_00_00.2480    VENT COCKS - BALL TYPE:
PR_20_85_00_00.2490    VENT COCKS - THREE WAY GLAND COCK TYPE:
PR_20_85_00_00.2500A    THREE WAY PLUG VALVE VENT COCKS - WRENCH OPERATED:
PR_20_85_00_00.2500B    THREE WAY PLUG VALVE VENT COCKS - GEAR OPERATED:
PR_20_85_00_00.2510A    AUTOMATIC AIR VENTS, FLOAT TYPE:
PR_20_85_00_00.2520A    LTHW PRESSURE DIFFERENTIAL DEAERATORS:
PR_20_85_00_00.2520B    CHILLED WATER PRESSURE DIFFERENTIAL DEAERATORS:
PR_20_85_00_00.2522A    GRAVITATION DIRT SEPARATORS:
PR_20_85_00_00.2620    EXPANSION LOOPS - COPPER:
PR_20_85_00_00.2670A    TEST PLUGS, SELF SEALING:
PR_20_85_00_00.2670B    TEST PLUGS, VALVE CONTROLLED:
PR_20_85_00_00.2680A    THREADED PIPELINE STRAINERS, BRONZE:
PR_20_85_00_00.2680B    FLANGED PIPELINE STRAINERS, BRONZE:
PR_20_85_00_00.2680C    COMPRESSION PIPELINE STRAINERS, BRONZE:
PR_20_85_00_00.2680D    PIPELINE STRAINERS, CAST IRON:
PR_20_85_00_00.2690A    TUNDISHES, COPPER:
PR_20_85_00_00.2700A    GAUGES, GENERAL:
PR_20_85_00_00.2700B    GAUGES, 150MM DIAMETER, FLUSH PANEL:
PR_20_85_00_00.2700C    GAUGES, 150MM DIAMETER, DIRECT MOUNTING:
PR_20_85_00_00.2710A    TEMPERATURE GAUGES, GENERAL:
PR_20_85_00_00.2720    PRESSURE AND ALTITUDE GAUGES:
PR_20_85_00_00.2730    VACUUM GAUGES:
PR_20_85_00_00.2750A    GAUGE MOUNTING BOARDS, HARDWOOD:
PR_20_85_00_00.3010A    LOOSE ITEMS, KEYS FOR SPINDLE SHANK VALVES:
PR_20_85_00_00.3010B    LOOSE ITEMS, FOR DRAIN COCKS:
PR_20_85_00_00.4010    INSTALLATION:
PR_20_85_00_00.4020    LOCATION:
PR_20_85_00_00.4025    LOCATION OF THERMOSTATIC RADIATOR VALVES:
PR_20_85_00_00.4030    POSITIONING OF COMPONENTS:
PR_20_85_00_00.4040    POSITIONING OF DOUBLE REGULATING VARIABLE ORIFICE VALVE:
PR_20_85_00_00.4045    INSTALLATION OF CONTROL BALL VALVES:
PR_20_85_00_00.4060    VENT COCKS:
PR_20_85_00_00.4070    VALVE STUFFING BOXES:
PR_20_85_00_00.4080A    DISCHARGE CONNECTIONS, SAFETY VALVES:
PR_20_85_00_00.4080B    DISCHARGE CONNECTIONS, VENT COCKS:
PR_20_85_00_00.4080C    DISCHARGE CONNECTIONS, AIR BOTTLES:
PR_20_85_00_00.4080D    DISCHARGE CONNECTIONS, AUTOMATIC AIR VENTS:
PR_20_85_00_00.4090    EXPANSION DEVICES:
PR_20_85_00_00.4100    EXPANSION COMPENSATORS INSTALLATION:
PR_20_85_00_00.4110    FLEXIBLE CONNECTIONS INSTALLATION:
PR_20_85_00_00.4120    TERMINAL UNIT CONNECTIONS INSTALLATION:
PR_65_53_00_00    PUMPS
PR_65_53_00_00.1000    GENERAL
PR_65_53_00_00.1010    PUMPS:
PR_65_53_00_00.1020    PUMP SELECTION:
PR_65_53_00_00.1030    SAFETY GUARDS:
PR_65_53_00_00.1040    PUMP TESTING:
PR_65_53_00_00.2010C    CENTRIFUGAL PUMP - CLOSE COUPLED:
PR_65_53_00_00.2010D    CENTRIFUGAL PUMP - DIRECT DRIVE IN-LINE:
PR_65_53_00_00.2020A    POSITIVE DISPLACEMENT PUMP - HELICAL:
PR_65_53_00_00.4010    GENERAL:
PR_65_53_00_00.4020    PIPELINE CONNECTIONS:
PR_65_53_00_00.4030    MOUNTINGS:
PR_65_53_00_00.4040    ALIGNMENT:
PR_65_53_00_00.4050    ACCESS:
PR_65_53_00_00.4060    MAINTENANCE REQUIREMENTS FOR SEWAGE PUMPS:
PR_60_50_96_00    WATER TANKS/CISTERNS
PR_60_50_96_00.1000    GENERAL
PR_60_50_96_00.1010    TANK DESIGN:
PR_60_50_96_00.1020    DOMESTIC STORAGE WATER CISTERNS:
PR_60_50_96_00.2020A    SECTIONAL A1 GLASS FIBRE REINFORCED SECTIONAL TANK TO BS EN 13280:
PR_60_50_96_00.4010    GENERAL:
PR_60_50_96_00.4020    PROTECTION AND CLEANING:
21.4030    INSPECTION AND ACCESS:
PR_60_50_96_00.4040    INSTALL MOULDED PLASTIC CISTERNS: IN ACCORDANCE WITH APPENDIX
PR_60_50_96_00.4050    INSTALL  SECTIONAL STEEL TANKS:
PR_60_50_96_00.4060    INSTALL GLASS REINFORCED PLASTICS CISTERNS:
PR_60_60_38_00    HEAT EXCHANGERS
PR_60_60_38_00.1000    GENERAL
PR_60_60_38_00.1010    HEAT EXCHANGER DESIGN:
PR_60_60_38_00.2010B    COPPER CALORIFIER TO BS 853:
PR_60_60_38_00.3010A    THERMAL INSULATION:
PR_60_60_38_00.3020A    SPARES:
PR_60_60_38_00.4010    GENERAL:
PR_60_60_38_00.4020    FLANGE DRILLINGS:
PR_60_60_38_00.4030    PROTECTION AND CLEANING:
PR_60_60_38_00.4040    INSPECTION:
PR_60_60_38_00.4050    RUST PROTECTION:
PR_60_60_38_00    STORAGE CYLINDERS AND CALORIFIERS
PR_60_60_38_00.1000    GENERAL
PR_60_60_38_00.1010    STANDARDS:
PR_60_60_38_00.1020    DEFINITIONS:
PR_60_60_38_00.2010    STEEL DIRECT CYLINDERS:
PR_60_60_38_00.2020    COPPER DIRECT CYLINDERS:
PR_60_60_38_00.2030    COPPER DOUBLE FEED INDIRECT CYLINDERS:
PR_60_60_38_00.2040    COPPER SINGLE FEED INDIRECT CYLINDERS:
PR_60_60_38_00.2045    STAINLESS STEEL INDIRECT CYLINDER:

PR_60_60_38_00.2060    GALVANIZED STEEL CALORIFIER/STORAGE VESSEL TO BS853-1:

PR_60_60_38_00.2065    COPPER CALORIFIER/STORAGE VESSEL TO BS853-1:

PR_60_60_38_00.4010    GENERAL:
PR_60_60_38_00.4020    FLANGE DRILLINGS:
PR_60_60_38_00.4030    PROTECTION AND CLEANING:
PR_60_60_38_00.4040    INSPECTION:
PR_60_60_38_00.4050    RUST PROTECTION:
PR_65_52_61_28    TRACE HEATING
PR_65_52_61_28.1000    GENERAL
PR_65_52_61_28.1010    STANDARDS:
PR_65_52_61_28.2010C    ELECTRIC TRACE HEATING, SELF REGULATING TAPE, RCD PROTECTION:
PR_65_52_61_28.2010D    ELECTRIC TRACE HEATING, SELF REGULATING TAPE, MCB PROTECTION:
PR_65_52_61_28.3010    INSTALLATION OF ELECTRIC TRACE HEATING:
PR_65_52_61_28.3040    THERMAL INSULATION:
PR_60_55_96_00    CLEANING AND CHEMICAL TREATMENT
PR_60_55_96_00.1000    GENERAL
PR_60_55_96_00.1010    CONDITIONS FOR CLEANING AND CHEMICAL TREATMENT:
PR_60_55_96_00.1015 METHOD    STATEMENT:
PR_60_55_96_00.2010    CLEANING AND CHEMICAL TREATMENT SPECIALIST:
PR_60_55_96_00.2020A    MAINS WATER ANALYSIS:
PR_60_55_96_00.2030A    PRELIMINARY CHECKS:
PR_60_55_96_00.2040A    PROCEDURAL PRECAUTIONS FOR CLEANING AND CHEMICAL TREATMENT:
PR_60_55_96_00.2040B    PROCEDURAL PRECAUTIONS FOR CLEANING AND CHEMICAL TREATMENT INCLUDING TAKING SAMPLES:
PR_60_55_96_00.2060A    CHEMICAL INJECTION AND DOSING METHODS FOR CLOSED SYSTEMS:
PR_60_55_96_00.2060B    CHEMICAL CLEANING AND DOSING METHODS FOR OPEN RECIRCULATING SYSTEMS:
PR_60_55_96_00.2060C    PACKAGED CHEMICAL INJECTION AND DOSING PLANT:
PR_60_55_96_00.2060D    DOSING - CLOSED SYSTEMS:
PR_60_55_96_00.2060E    DOSING - OPEN SYSTEMS:
PR_60_55_96_00.2065    CHEMICALS - DOSING:
PR_60_55_96_00.2070A    MONITORING:
PR_60_55_96_00.2070B    SAMPLING:
PR_60_55_96_00.2070C    SAMPLING KITS:
PR_60_55_96_00.2080A    CHEMICAL PROVISION, STANDARD ARRANGEMENT:
PR_60_55_96_00.3010A    FLUSHING:
PR_60_55_96_00.3010B    FLUSHING:
PR_60_55_96_00.3030    CHEMICAL CLEANING AND SOLIDS REMOVAL
PR_60_55_96_00.3040    STERILIZATION - GENERAL:
PR_60_55_96_00.3050    STERILIZATION - MAINS WATER SYSTEM:
PR_60_55_96_00.3060    STERILIZATION - WATER STORAGE SYSTEMS:
PR_60_55_96_00.3080    SERVICE VISITS:
25.3090    DOCUMENTATION:
PR_65_65_00_00    AIR DUCTLINES AND ANCILLARIES
PR_65_65_00_00.1000    GENERAL
PR_65_65_00_00.1010    DUCTWORK INSTALLATION STANDARDS:
PR_65_65_00_00.1020    DUCTWORK DIMENSIONS:
PR_65_65_00_00.1030    ELECTRICAL BONDING TERMINAL:
PR_65_65_00_00.2010    PRESSURE CLASIFICATION OF DUCTWORK
PR_65_65_00_00.2030B    MEDIUM PRESSURE DUCTWORK AIR LEAKAGE TESTING:
PR_65_65_00_00.2035    STRENGTH AND LEAKAGE TESTING OF CIRCULAR SHEET METAL DUCTWORK:
PR_65_65_00_00.2036    STRENGTH AND LEAKAGE TESTING OF RECTANGULAR SHEET METAL DUCTWORK:
PR_65_65_00_00.2040A    ZINC-COATED DUCTWORK MATERIAL:
PR_65_65_00_00.2060A    RECTANGULAR CONSTRUCTION:
PR_65_65_00_00.2060B    CIRCULAR CONSTRUCTION:
PR_65_65_00_00.2070    MAN ACCESS AND SAFETY BARS:
PR_65_65_00_00.2110A    FIRE PROTECTION WITH FIRE DAMPERS:
PR_65_65_00_00.2110B    FIRE PROTECTION WITH FIRE RESISTING ENCLOSURES:
PR_65_65_00_00.2110C    FIRE RATED AND SMOKE EXTRACT DUCTWORK:
PR_65_65_00_00.2110D    FIRE RATED DUCTWORK:
PR_65_65_00_00.2130A    PREINSULATED EXTERNAL THERMAL/ACOUSTIC DUCTWORK:
PR_65_65_00_00.2140A    HANGERS AND SUPPORTS:
PR_65_65_00_00.2150A    SUPPORT OF AIR TERMINAL UNITS:
PR_65_65_00_00.3010    CONSTRUCTION AND FINISHES:
PR_65_65_00_00.3020A    METAL DUCTWORK INSPECTION/SERVICING ACCESS OPENINGS:
PR_65_65_00_00.3020D    DUCTWORK INSPECTION/SERVICING ACCESS OPENINGS:
PR_65_65_00_00.3030A    METAL DUCTWORK TEST HOLES:
PR_65_65_00_00.3040    HOLES FOR CONTROLS/INSTRUMENTS - METAL DUCTWORK:
PR_65_65_00_00.3042    INSTALLATION OF INSTRUMENTS AND CONTROLS:
PR_65_65_00_00.3050A    CLEANING ACCESS - LEVEL 2:
PR_65_65_00_00.3050C    CLEANING ACCESS - HVCA TR/19:
PR_65_65_00_00.3060B    STEEL MULTI-BLADE BALANCING DAMPERS - METAL DUCTS:
PR_65_65_00_00.3060D    STEEL MULTI-BLADE CONTROL DAMPERS - METAL DUCTS:
PR_65_65_00_00.3070C    STEEL CURTAIN FIRE DAMPERS - BLADES OUT OF AIR STREAM:
PR_65_65_00_00.3070I    INTUMESCENT FIRE DAMPERS:
PR_65_65_00_00.3070J    FIRE DAMPERS ACCESSORIES:
PR_65_65_00_00.3075    FIRE DAMPERS - GENERAL:
PR_65_65_00_00.3079    SMOKE DAMPERS - GENERAL
PR_65_65_00_00.3080B    STEEL MULTI-BLADE SMOKE DAMPERS:
PR_65_65_00_00.3089    COMBINATION FIRE AND SMOKE DAMPERS - GENERAL:
PR_65_65_00_00.3090    COMBINATION SMOKE AND FIRE DAMPERS:
PR_65_65_00_00.3090A    STEEL SINGLE BLADE COMBINATION SMOKE AND FIRE DAMPERS:
PR_65_65_00_00.3090B    STEEL MULTI-BLADE COMBINATION SMOKE AND FIRE DAMPERS:
PR_65_65_00_00.3100A    COATED STEEL FLEXIBLE DUCTS:
PR_65_65_00_00.3110A    FLEXIBLE JOINT CONNECTIONS:
PR_65_65_00_00.3120A    BIRD WIRE GUARDS:
PR_65_65_00_00.3130A    INSECT GUARDS:
PR_65_65_00_00.4010    GENERAL WORKMANSHIP:
